net,num_cycles,cycle_idx,cycle_length,total_reachable,reachable_above_0.01,unknown_count,timeout_count
1,22,0,11,5,2,352,0
1,22,1,11,5,2,297,0
1,22,2,11,7,2,335,0
1,22,3,11,6,3,263,0
1,22,4,11,8,2,308,0
1,22,5,11,5,3,313,0
1,22,6,11,3,1,417,0
1,22,7,11,2,1,381,0
1,22,8,11,6,4,285,0
1,22,9,11,5,3,219,0
1,22,10,11,7,7,137,0
1,22,11,11,5,3,309,0
1,22,12,36,8,3,377,0
1,22,13,6,4,4,38,0
1,22,14,6,5,3,39,0
1,22,15,3,4,3,15,0
1,22,16,6,7,3,23,0
1,22,17,3,3,3,15,0
1,22,18,6,6,3,9,0
1,22,19,6,4,1,29,0
1,22,20,6,5,2,10,0
1,22,21,2,3,3,5,0
2,4,0,195,4,3,76,0
2,4,1,18,3,3,0,0
2,4,2,30,4,4,3,0
2,4,3,7,4,4,1,0
3,14,0,12,9,4,207,0
3,14,1,12,6,4,87,0
3,14,2,12,8,4,244,0
3,14,3,12,6,4,322,0
3,14,4,6,5,4,36,0
3,14,5,6,7,6,82,0
3,14,6,6,6,4,26,0
3,14,7,6,7,4,115,0
3,14,8,2,5,4,13,0
3,14,9,6,5,4,94,0
3,14,10,6,4,2,120,0
3,14,11,40,4,2,1541,0
3,14,12,4,4,4,62,0
3,14,13,4,5,3,41,0
4,5,0,2,4,3,8,0
4,5,1,1,2,2,5,0
4,5,2,2,3,3,19,0
4,5,3,2,3,3,19,0
4,5,4,1,3,3,3,0
